phase,lr,pista,episode,reward,steps,survived
1,5e-05,ds1,0,93.67786584105174,455,False
1,5e-05,ds1,1,93.67786584105174,455,False
1,5e-05,ds1,2,93.67786584105174,455,False
1,5e-05,ds2,0,825.1682986233094,1350,True
1,5e-05,ds2,1,825.1682986233094,1350,True
1,5e-05,ds2,2,825.1682986233094,1350,True
1,5e-05,ds3,0,492.9596664964532,1350,True
1,5e-05,ds3,1,492.9596664964532,1350,True
1,5e-05,ds3,2,492.9596664964532,1350,True
1,5e-05,ds3,0,492.9596664964532,1350,True
1,5e-05,ds3,1,492.9596664964532,1350,True
1,5e-05,ds3,2,492.9596664964532,1350,True
2,2.5e-05,ds1,0,174.59890481870582,447,False
2,2.5e-05,ds1,1,174.59890481870582,447,False
2,2.5e-05,ds1,2,174.59890481870582,447,False
2,2.5e-05,ds2,0,213.10810094099503,403,False
2,2.5e-05,ds2,1,213.10810094099503,403,False
2,2.5e-05,ds2,2,213.10810094099503,403,False
2,2.5e-05,ds3,0,339.4741854869233,432,False
2,2.5e-05,ds3,1,339.4741854869233,432,False
2,2.5e-05,ds3,2,339.4741854869233,432,False
2,2.5e-05,ds3,0,339.4741854869233,432,False
2,2.5e-05,ds3,1,339.4741854869233,432,False
2,2.5e-05,ds3,2,339.4741854869233,432,False
