phase,lr,pista,episode,reward,steps,survived
1,0.0001,ds1,0,79.27038097055629,450,True
1,0.0001,ds1,1,79.27038097055629,450,True
1,0.0001,ds1,2,79.27038097055629,450,True
1,0.0001,ds2,0,-73.59136329428293,337,False
1,0.0001,ds2,1,-73.59136329428293,337,False
1,0.0001,ds2,2,-73.59136329428293,337,False
1,0.0001,ds3,0,42.693755011539906,450,True
1,0.0001,ds3,1,42.693755011539906,450,True
1,0.0001,ds3,2,42.693755011539906,450,True
2,5e-05,ds1,0,-10.564989372855052,432,False
2,5e-05,ds1,1,-10.564989372855052,432,False
2,5e-05,ds1,2,-10.564989372855052,432,False
2,5e-05,ds2,0,44.23572197952308,450,True
2,5e-05,ds2,1,44.23572197952308,450,True
2,5e-05,ds2,2,44.23572197952308,450,True
2,5e-05,ds3,0,51.41429658723064,450,True
2,5e-05,ds3,1,51.41429658723064,450,True
2,5e-05,ds3,2,51.41429658723064,450,True
3,2.5e-05,ds1,0,-48.12673659529537,338,False
3,2.5e-05,ds1,1,-48.12673659529537,338,False
3,2.5e-05,ds1,2,-48.12673659529537,338,False
3,2.5e-05,ds2,0,-55.11212896043435,432,False
3,2.5e-05,ds2,1,-55.11212896043435,432,False
3,2.5e-05,ds2,2,-55.11212896043435,432,False
3,2.5e-05,ds3,0,58.676700640819035,450,True
3,2.5e-05,ds3,1,58.676700640819035,450,True
3,2.5e-05,ds3,2,58.676700640819035,450,True
