model,savestate,episode,reward,steps,survived
best,ds1,0,-11.891030423343182,420,False
best,ds1,1,-11.891030423343182,420,False
best,ds1,2,-11.891030423343182,420,False
best,ds2,0,-51.45833548903465,273,False
best,ds2,1,-51.45833548903465,273,False
best,ds2,2,-51.45833548903465,273,False
best,ds3,0,-59.28265126142651,203,False
best,ds3,1,-59.28265126142651,203,False
best,ds3,2,-59.28265126142651,203,False
final,ds1,0,-88.00428429944441,110,False
final,ds1,1,-88.00428429944441,110,False
final,ds1,2,-88.00428429944441,110,False
final,ds2,0,-41.81381853763014,313,False
final,ds2,1,-41.81381853763014,313,False
final,ds2,2,-41.81381853763014,313,False
final,ds3,0,-69.44312976486981,106,False
final,ds3,1,-69.44312976486981,106,False
final,ds3,2,-69.44312976486981,106,False
